Identifiant de document|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|01/08/2024|Vente|143000,00|886||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|6||16||19||48|42,65|||||3|2|Appartement||43|2|||
|||||||000001|01/08/2024|Vente|143000,00|886||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|6||16||19||48|42,65|||||3|3|Dépendance||0|0|||
|||||||000001|01/08/2024|Vente|143000,00|886||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AC|6||16||19||48|42,65|||||3|3|Dépendance||0|0|||
|||||||000001|31/07/2024|Vente|63000,00|2||PL|0106|ALPHONSE BEAU DE ROCHAS|34790|GRABELS|34|116||AE|4||48|22,02|||||||||1|2|Appartement||22|1|||
|||||||000001|31/07/2024|Vente|63000,00|2||PL|0106|ALPHONSE BEAU DE ROCHAS|34790|GRABELS|34|116||AE|4||176||||||||||1|3|Dépendance||0|0|||
|||||||000001|15/07/2024|Vente|58080,00||||B074|LE CHATEAU|34790|GRABELS|34|116||BE|178||||||||||||0||||||T||1234
|||||||000001|15/07/2024|Vente|58080,00||||B074|LE CHATEAU|34790|GRABELS|34|116||BE|190||||||||||||0||||||T||4574
|||||||000001|02/08/2024|Vente|129320,00|810||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|215||100||2|44,60|||||||2|3|Dépendance||0|0|||
|||||||000001|02/08/2024|Vente|129320,00|810||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AE|215||100||2|44,60|||||||2|2|Appartement||44|2|||
|||||||000001|12/08/2024|Vente|35000,00|2||PL|0106|ALPHONSE BEAU DE ROCHAS|34790|GRABELS|34|116||AE|4||181||||||||||1|3|Dépendance||0|0|||
|||||||000001|12/08/2024|Vente|35000,00|2||PL|0106|ALPHONSE BEAU DE ROCHAS|34790|GRABELS|34|116||AE|4||25|28,86|||||||||1|2|Appartement||30|1|||
|||||||000001|23/08/2024|Vente|55000,00|2||PL|0106|ALPHONSE BEAU DE ROCHAS|34790|GRABELS|34|116||AE|4||137||||||||||1|3|Dépendance||0|0|||
|||||||000001|23/08/2024|Vente|55000,00|2||PL|0106|ALPHONSE BEAU DE ROCHAS|34790|GRABELS|34|116||AE|4||61|21,84|||||||||1|2|Appartement||22|1|||
|||||||000001|08/08/2024|Vente|122000,00|1|B|RUE|0116|DE L OLIVERAIE|34790|GRABELS|34|116||AE|30||49||||||||||1|3|Dépendance||0|0|||
|||||||000001|08/08/2024|Vente|122000,00|1|B|RUE|0116|DE L OLIVERAIE|34790|GRABELS|34|116||AE|30||10|37,81|||||||||1|2|Appartement||37|2|||
|||||||000001|23/08/2024|Vente|680000,00|1227||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AB|67||||||||||||0|2|Appartement||62|3|S||1301
|||||||000001|23/08/2024|Vente|680000,00|1227||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AB|67||||||||||||0|4|Local industriel. commercial ou assimilé||763|0|S||1301
|||||||000001|23/08/2024|Vente|680000,00|1227||RUE|0108|DE LA VALSIERE|34790|GRABELS|34|116||AB|67||||||||||||0|2|Appartement||62|3|S||1301
